pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
837785,,bse_fo,SO,BHARTIARTL,BHARTIARTL25SEP1940PE,PE,BHARTIARTL25SEP251940.00PE,,532454,,,BHARTIARTL25SEP1940PE,,,5,475,1758824999,1,2,194000,BSE,SO,1758824999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1758758400,1758758400,,,,,Physical,,0,1,0.00,475,0,6305,5,1,1,1,0,0,1,0,-1,1,0,28500
865195,,bse_fo,IO,SENSEX,SENSEX25O0176900PE,PE,SENSEX01OCT2576900.00PE,,1,,,SENSEX25O0176900PE,,,5,20,1759343399,1,2,7.69e+06,BSE,IO,1759343399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1759276800,1759276800,,,,,Cash,,0,1,0.00,20,0,2005,5,1,1,1,0,0,1,0,-1,1,0,1000
875620,,bse_fo,SO,COFORGE,COFORGE25NOV1840CE,CE,COFORGE27NOV251840.00CE,,532541,,,COFORGE25NOV1840CE,,,5,375,1764268199,1,2,184000,BSE,SO,1764268199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1764201600,1764201600,,,,,Physical,,0,1,0.00,375,0,11370,5,1,1,1,0,0,1,0,-1,1,0,6000
858334,,bse_fo,SO,DELHIVERY,DELHIVERY25OCT470CE,CE,DELHIVERY30OCT25470.00CE,,543529,,,DELHIVERY25OCT470CE,,,5,2075,1761848999,1,2,47000,BSE,SO,1761848999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1761782400,1761782400,,,,,Physical,,0,1,0.00,2075,0,3445,5,1,1,1,0,0,1,0,-1,1,0,100000000
837019,,bse_fo,SO,UPL,UPL25SEP650CE,CE,UPL25SEP25650.00CE,,512070,,,UPL25SEP650CE,,,5,1355,1758824999,1,2,65000,BSE,SO,1758824999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1758758400,1758758400,,,,,Physical,,0,1,0.00,1355,0,7420,5,1,1,1,0,0,1,0,-1,1,0,39000
836100,,bse_fo,SO,ASHOKLEY,ASHOKLEY25SEP110PE,PE,ASHOKLEY25SEP25110.00PE,,500477,,,ASHOKLEY25SEP110PE,,,5,5000,1758824999,1,2,11000,BSE,SO,1758824999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1758758400,1758758400,,,,,Physical,,0,1,0.00,5000,0,2005,5,1,1,1,0,0,1,0,-1,1,0,150000
855968,,bse_fo,SO,HDFCBANK,HDFCBANK25OCT920PE,PE,HDFCBANK30OCT25920.00PE,,500180,,,HDFCBANK25OCT920PE,,,5,1100,1761848999,1,2,92000,BSE,SO,1761848999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1761782400,1761782400,,,,,Physical,,0,1,0.00,1100,0,2655,5,1,1,1,0,0,1,0,-1,1,0,16500
866993,,bse_fo,SO,BAJFINANCE,BAJFINANCE25NOV900CE,CE,BAJFINANCE27NOV25900.00CE,,500034,,,BAJFINANCE25NOV900CE,,,5,750,1764268199,1,2,90000,BSE,SO,1764268199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1764201600,1764201600,,,,,Physical,,0,1,0.00,750,0,20055,7975,1,1,1,0,0,1,0,-1,1,0,3750
850129,,bse_fo,SO,ASHOKLEY,ASHOKLEY25OCT125PE,PE,ASHOKLEY30OCT25125.00PE,,500477,,,ASHOKLEY25OCT125PE,,,5,5000,1761848999,1,2,12500,BSE,SO,1761848999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1761782400,1761782400,,,,,Physical,,0,1,0.00,5000,5000,2055,5,1,1,1,0,0,1,0,-1,1,0,150000
877040,,bse_fo,SO,TCS,TCS25NOV3260PE,PE,TCS27NOV253260.00PE,,532540,,,TCS25NOV3260PE,,,5,175,1764268199,1,2,326000,BSE,SO,1764268199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1764201600,1764201600,,,,,Physical,,0,1,0.00,175,0,31145,10805,1,1,1,0,0,1,0,-1,1,0,7000
836791,,bse_fo,SO,DABUR,DABUR25SEP480PE,PE,DABUR25SEP25480.00PE,,500096,,,DABUR25SEP480PE,,,5,1250,1758824999,1,2,48000,BSE,SO,1758824999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1758758400,1758758400,,,,,Physical,,0,1,0.00,1250,0,2020,5,1,1,1,0,0,1,0,-1,1,0,50000
846727,,bse_fo,SO,IDFCFIRSTB,IDFCFIRSTB25SEP83PE,PE,IDFCFIRSTB25SEP2583.00PE,,539437,,,IDFCFIRSTB25SEP83PE,,,5,9275,1758824999,1,2,8300,BSE,SO,1758824999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1758758400,1758758400,,,,,Physical,,0,1,0.00,9275,0,3240,5,1,1,1,0,0,1,0,-1,1,0,450000
